node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 22.0000 1 3 2  
0 83 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 19.0000 4 3 3  
0 155 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 18.0000 4 3 4  
0 227 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 17.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 22.0000 1 3 2  
83 84 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 19.0000 4 3 3  
155 156 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 18.0000 4 3 4  
227 228 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 17.0000 4 3 5  
3 20 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 20.9464 3 3 6  
11 41 7 2.3103 1.6232 3.9077 2.9302 1.8099 4.6699 0.2000 2.1137 20.9464 3 3 7  
19 62 8 5.3891 3.8070 4.8176 5.9142 4.6431 4.9760 0.2000 2.1137 20.9464 3 3 8  
84 101 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 17.9464 3 3 18  
92 119 19 2.7105 -0.3076 3.7439 3.3221 -0.1563 4.5205 0.2000 2.1137 17.9464 3 3 19  
100 137 20 6.2679 -0.9510 4.4978 7.2264 -1.1256 4.7229 0.2000 2.1137 17.9464 3 3 20  
156 173 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 16.9464 3 3 30  
164 191 31 -1.8605 1.8846 3.6458 -2.3733 2.4745 4.2697 0.2000 2.1137 16.9464 3 3 31  
172 209 32 -3.9486 4.7777 4.2623 -4.6105 5.5156 4.1310 0.2000 2.1137 16.9464 3 3 32  
228 243 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 15.9464 3 3 42  
235 261 43 -1.7793 -0.5936 4.0493 -2.3259 -0.5590 4.8860 0.2000 2.1137 15.9464 3 3 43  
242 279 44 -4.2871 -1.1414 6.4028 -5.1401 -1.1048 6.9235 0.2000 2.1137 15.9464 3 3 44  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 22.0000 1 3 2  
11 12 2 2.3103 1.6232 3.9077 2.6677 1.8752 4.1502 0.2000 2.4875 22.0000 1 3 2  
84 85 3 0.3157 -0.0190 0.9478 0.5299 -0.0377 1.3992 0.2000 2.4875 19.0000 4 3 3  
92 93 3 2.7105 -0.3076 3.7439 3.1509 -0.3743 3.9712 0.2000 2.4875 19.0000 4 3 3  
156 157 4 -0.2717 0.1138 0.9543 -0.4413 0.2339 1.4091 0.2000 2.4875 18.0000 4 3 4  
164 165 4 -1.8605 1.8846 3.6458 -2.1321 2.2516 3.8498 0.2000 2.4875 18.0000 4 3 4  
228 229 5 -0.2341 -0.1210 0.9643 -0.3871 -0.1839 1.4362 0.2000 2.4875 17.0000 4 3 5  
235 236 5 -1.7793 -0.5936 4.0493 -2.0848 -0.6672 4.4382 0.2000 2.4875 17.0000 4 3 5  
4 5 2 0.4071 0.3209 1.4042 0.6067 0.4619 1.8404 0.2000 3.4875 22.0000 1 3 2  
85 86 3 0.5299 -0.0377 1.3992 0.7799 -0.0625 1.8315 0.2000 3.4875 19.0000 4 3 3  
93 94 3 3.1509 -0.3743 3.9712 3.6075 -0.4469 4.1615 0.2000 3.4875 19.0000 4 3 3  
157 158 4 -0.4413 0.2339 1.4091 -0.6307 0.3949 1.8429 0.2000 3.4875 18.0000 4 3 4  
165 166 4 -2.1321 2.2516 3.8498 -2.4177 2.6261 4.0176 0.2000 3.4875 18.0000 4 3 4  
229 230 5 -0.3871 -0.1839 1.4362 -0.5635 -0.2483 1.8996 0.2000 3.4875 17.0000 4 3 5  
236 237 5 -2.0848 -0.6672 4.4382 -2.4094 -0.7424 4.8111 0.2000 3.4875 17.0000 4 3 5  
12 13 2 2.6677 1.8752 4.1502 3.0364 2.1418 4.3576 0.2000 3.4875 22.0000 1 3 2  
22 35 11 0.5169 0.2564 9.0604 0.1048 0.1671 9.9671 0.0160 4.2414 19.8863 1 4 11  
43 56 14 6.6013 2.6110 10.6731 7.1269 2.2994 11.4647 0.0160 4.2414 19.8863 1 4 14  
64 77 17 9.4213 10.0016 7.9254 9.8569 10.7185 8.4698 0.0160 4.2414 19.8863 1 4 17  
103 114 23 0.4565 0.1628 8.7099 0.2644 0.4137 9.6587 0.0160 4.2414 16.8863 1 4 23  
120 127 25 4.8908 0.0036 7.5184 5.2185 -0.5358 8.2941 0.0160 4.2414 16.8863 1 4 25  
137 140 27 7.2264 -1.1256 4.7229 8.2249 -1.1002 4.7715 0.0160 4.2414 16.8863 1 4 27  
245 256 47 -0.9666 -0.8125 8.3652 -1.2536 -1.0503 9.2931 0.0160 4.2414 14.8863 1 4 47  
262 269 49 -4.1011 -0.4158 7.5865 -4.7389 -0.6630 8.3160 0.0160 4.2414 14.8863 1 4 49  
20 23 9 0.3621 0.2280 1.9420 0.1880 0.6389 2.8369 0.0160 4.2414 19.8863 1 4 9  
21 29 10 0.5111 0.2819 5.4995 0.1497 0.1923 6.4275 0.0160 4.2414 19.8863 1 4 10  
41 44 12 2.9302 1.8099 4.6699 3.5796 1.9106 5.4236 0.0160 4.2414 19.8863 1 4 12  
42 50 13 5.0333 2.3959 7.4832 5.6142 2.8677 8.1464 0.0160 4.2414 19.8863 1 4 13  
62 65 15 5.9142 4.6431 4.9760 6.4135 5.5088 5.0113 0.0160 4.2414 19.8863 1 4 15  
63 71 16 8.0511 7.2453 6.1348 8.6442 8.0203 6.3530 0.0160 4.2414 19.8863 1 4 16  
101 104 21 0.4044 0.0308 1.9426 0.8235 0.0212 2.8505 0.0160 4.2414 16.8863 1 4 21  
102 109 22 0.5694 0.1239 5.3246 0.5438 0.3909 6.2880 0.0160 4.2414 16.8863 1 4 22  
119 122 24 3.3221 -0.1563 4.5205 4.1322 0.0766 5.0585 0.0160 4.2414 16.8863 1 4 24  
121 132 26 5.9457 0.9667 10.5899 6.3353 1.3218 11.4396 0.0160 4.2414 16.8863 1 4 26  
138 145 28 10.3698 -0.8952 5.9640 11.3121 -0.9282 6.2972 0.0160 4.2414 16.8863 1 4 28  
139 150 29 13.2364 -1.0143 7.7648 14.0650 -1.0434 8.3239 0.0160 4.2414 16.8863 1 4 29  
173 176 33 -0.4121 0.2673 1.9324 -0.8594 0.4024 2.8165 0.0160 4.2414 15.8863 1 4 33  
174 181 34 -0.8860 0.8078 5.1689 -1.2568 1.1998 6.0108 0.0160 4.2414 15.8863 1 4 34  
175 186 35 -1.4931 1.2747 8.3946 -2.0514 1.6952 9.1098 0.0160 4.2414 15.8863 1 4 35  
191 194 36 -2.3733 2.4745 4.2697 -2.7781 3.3032 4.6561 0.0160 4.2414 15.8863 1 4 36  
192 199 37 -4.2021 4.3681 6.2849 -4.8714 5.0475 6.5856 0.0160 4.2414 15.8863 1 4 37  
193 204 38 -6.0254 6.2881 8.2801 -6.4576 7.0854 8.7014 0.0160 4.2414 15.8863 1 4 38  
209 212 39 -4.6105 5.5156 4.1310 -5.3115 6.1981 3.9240 0.0160 4.2414 15.8863 1 4 39  
210 217 40 -6.5030 8.2344 4.2658 -6.9986 9.0995 4.1877 0.0160 4.2414 15.8863 1 4 40  
211 222 41 -8.9715 10.3688 4.8512 -9.7219 11.0146 4.9919 0.0160 4.2414 15.8863 1 4 41  
243 246 45 -0.2999 -0.2118 1.9580 -0.5893 -0.1413 2.9126 0.0160 4.2414 14.8863 1 4 45  
244 251 46 -0.6286 -0.5278 5.1606 -1.0883 -0.6057 6.0452 0.0160 4.2414 14.8863 1 4 46  
261 264 48 -2.3259 -0.5590 4.8860 -3.0528 -0.4517 5.5644 0.0160 4.2414 14.8863 1 4 48  
263 274 50 -5.9729 -0.2953 10.2221 -6.7567 -0.4528 10.8229 0.0160 4.2414 14.8863 1 4 50  
279 282 51 -5.1401 -1.1048 6.9235 -6.0875 -0.8924 7.1629 0.0160 4.2414 14.8863 1 4 51  
280 287 52 -7.9588 -1.0089 8.5078 -8.8717 -0.8582 8.8873 0.0160 4.2414 14.8863 1 4 52  
281 292 53 -10.7811 -0.8818 10.0836 -11.6714 -0.5441 10.3891 0.0160 4.2414 14.8863 1 4 53  
5 6 2 0.6067 0.4619 1.8404 0.8358 0.6196 2.2560 0.2000 5.4875 22.0000 1 3 2  
13 14 2 3.0364 2.1418 4.3576 3.4129 2.4226 4.5289 0.2000 5.4875 22.0000 1 3 2  
86 87 3 0.7799 -0.0625 1.8315 1.0639 -0.0934 2.2419 0.2000 5.4875 19.0000 4 3 3  
94 95 3 3.6075 -0.4469 4.1615 4.0774 -0.5254 4.3134 0.2000 5.4875 19.0000 4 3 3  
158 159 4 -0.6307 0.3949 1.8429 -0.8373 0.5956 2.2516 0.2000 5.4875 18.0000 4 3 4  
166 167 4 -2.4177 2.6261 4.0176 -2.7171 3.0045 4.1484 0.2000 5.4875 18.0000 4 3 4  
230 231 5 -0.5635 -0.2483 1.8996 -0.7629 -0.3143 2.3533 0.2000 5.4875 17.0000 4 3 5  
237 238 5 -2.4094 -0.7424 4.8111 -2.7521 -0.8192 5.1669 0.2000 5.4875 17.0000 4 3 5  
0 1 1 0.0000 0.0000 0.0000 0.0208 -0.7882 -0.6151 0.0500 6.0000 22.0000 1 2 1  
35 36 11 0.1048 0.1671 9.9671 -0.6991 0.2019 10.5609 0.0160 6.6741 19.8863 1 4 11  
50 51 13 5.6142 2.8677 8.1464 6.4408 3.2461 8.5632 0.0160 6.6741 19.8863 1 4 13  
56 57 14 7.1269 2.2994 11.4647 7.8569 2.1654 12.1349 0.0160 6.6741 19.8863 1 4 14  
65 66 15 6.4135 5.5088 5.0113 6.7615 6.4314 4.8449 0.0160 6.6741 19.8863 1 4 15  
71 72 16 8.6442 8.0203 6.3530 9.1348 8.8866 6.4471 0.0160 6.6741 19.8863 1 4 16  
77 78 17 9.8569 10.7185 8.4698 10.5991 11.2968 8.8085 0.0160 6.6741 19.8863 1 4 17  
114 115 23 0.2644 0.4137 9.6587 -0.3514 0.5270 10.4384 0.0160 6.6741 16.8863 1 4 23  
122 123 24 4.1322 0.0766 5.0585 4.8681 0.6450 5.4264 0.0160 6.6741 16.8863 1 4 24  
132 133 26 6.3353 1.3218 11.4396 7.0144 1.6458 12.0984 0.0160 6.6741 16.8863 1 4 26  
140 141 27 8.2249 -1.1002 4.7715 9.1928 -0.9211 4.5948 0.0160 6.6741 16.8863 1 4 27  
145 146 28 11.3121 -0.9282 6.2972 12.2313 -0.5361 6.2590 0.0160 6.6741 16.8863 1 4 28  
186 187 35 -2.0514 1.6952 9.1098 -2.7225 2.2697 9.5784 0.0160 6.6741 15.8863 1 4 35  
194 195 36 -2.7781 3.3032 4.6561 -3.5197 3.9666 4.7557 0.0160 6.6741 15.8863 1 4 36  
212 213 39 -5.3115 6.1981 3.9240 -5.8482 6.9229 3.4920 0.0160 6.6741 15.8863 1 4 39  
256 257 47 -1.2536 -1.0503 9.2931 -1.6997 -1.5611 10.0280 0.0160 6.6741 14.8863 1 4 47  
264 265 48 -3.0528 -0.4517 5.5644 -3.9012 -0.2993 6.0712 0.0160 6.6741 14.8863 1 4 48  
269 270 49 -4.7389 -0.6630 8.3160 -5.3963 -1.0704 8.9499 0.0160 6.6741 14.8863 1 4 49  
274 275 50 -6.7567 -0.4528 10.8229 -7.7207 -0.5643 11.0642 0.0160 6.6741 14.8863 1 4 50  
23 24 9 0.1880 0.6389 2.8369 -0.2708 1.3121 3.4168 0.0160 6.6741 19.8863 1 4 9  
29 30 10 0.1497 0.1923 6.4275 -0.2403 0.5675 7.2685 0.0160 6.6741 19.8863 1 4 10  
44 45 12 3.5796 1.9106 5.4236 4.3751 1.9124 6.0296 0.0160 6.6741 19.8863 1 4 12  
