node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 26.0000 1 3 2  
0 84 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 23.0000 4 3 3  
0 165 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 22.0000 4 3 4  
0 246 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 21.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 26.0000 1 3 2  
84 85 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 23.0000 4 3 3  
165 166 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 22.0000 4 3 4  
246 247 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 21.0000 4 3 5  
3 21 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 24.9464 3 3 6  
11 42 7 2.3465 1.6482 3.9368 2.9663 1.8349 4.6990 0.2000 2.1137 24.9464 3 3 7  
19 63 8 5.4695 3.8605 4.8444 5.9946 4.6967 5.0028 0.2000 2.1137 24.9464 3 3 8  
85 102 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 21.9464 3 3 18  
93 123 19 2.9181 -0.3376 3.8735 3.5297 -0.1863 4.6501 0.2000 2.1137 21.9464 3 3 19  
101 144 20 6.7150 -1.0339 4.6034 7.6736 -1.2084 4.8285 0.2000 2.1137 21.9464 3 3 20  
166 183 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 20.9464 3 3 30  
174 204 31 -2.0006 2.0786 3.7762 -2.5133 2.6684 4.4001 0.2000 2.1137 20.9464 3 3 31  
182 225 32 -4.2355 5.1983 4.3566 -4.8975 5.9363 4.2253 0.2000 2.1137 20.9464 3 3 32  
247 264 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 19.9464 3 3 42  
255 285 43 -2.0162 -0.6507 4.3509 -2.6043 -0.6192 5.1591 0.2000 2.1137 19.9464 3 3 43  
263 306 44 -4.9733 -1.2758 6.7571 -5.8747 -1.2453 7.1891 0.2000 2.1137 19.9464 3 3 44  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 26.0000 1 3 2  
11 12 2 2.3465 1.6482 3.9368 2.7039 1.9002 4.1793 0.2000 2.4875 26.0000 1 3 2  
85 86 3 0.3157 -0.0190 0.9478 0.5299 -0.0377 1.3992 0.2000 2.4875 23.0000 4 3 3  
93 94 3 2.9181 -0.3376 3.8735 3.3584 -0.4043 4.1009 0.2000 2.4875 23.0000 4 3 3  
166 167 4 -0.2717 0.1138 0.9543 -0.4413 0.2339 1.4091 0.2000 2.4875 22.0000 4 3 4  
174 175 4 -2.0006 2.0786 3.7762 -2.2722 2.4455 3.9802 0.2000 2.4875 22.0000 4 3 4  
247 248 5 -0.2341 -0.1210 0.9643 -0.3871 -0.1839 1.4362 0.2000 2.4875 21.0000 4 3 5  
255 256 5 -2.0162 -0.6507 4.3509 -2.3407 -0.7259 4.7237 0.2000 2.4875 21.0000 4 3 5  
4 5 2 0.4071 0.3209 1.4042 0.6067 0.4619 1.8404 0.2000 3.4875 26.0000 1 3 2  
86 87 3 0.5299 -0.0377 1.3992 0.7799 -0.0625 1.8315 0.2000 3.4875 23.0000 4 3 3  
94 95 3 3.3584 -0.4043 4.1009 3.8151 -0.4769 4.2911 0.2000 3.4875 23.0000 4 3 3  
167 168 4 -0.4413 0.2339 1.4091 -0.6307 0.3949 1.8429 0.2000 3.4875 22.0000 4 3 4  
175 176 4 -2.2722 2.4455 3.9802 -2.5578 2.8200 4.1480 0.2000 3.4875 22.0000 4 3 4  
248 249 5 -0.3871 -0.1839 1.4362 -0.5635 -0.2483 1.8996 0.2000 3.4875 21.0000 4 3 5  
256 257 5 -2.3407 -0.7259 4.7237 -2.6835 -0.8026 5.0796 0.2000 3.4875 21.0000 4 3 5  
12 13 2 2.7039 1.9002 4.1793 3.0725 2.1668 4.3867 0.2000 3.4875 26.0000 1 3 2  
23 36 11 0.5238 0.2577 9.3753 0.1116 0.1684 10.2820 0.0160 4.2414 23.8863 1 4 11  
44 57 14 6.7998 2.6714 10.9678 7.3255 2.3599 11.7594 0.0160 4.2414 23.8863 1 4 14  
65 78 17 9.6568 10.2922 8.0827 10.0925 11.0090 8.6271 0.0160 4.2414 23.8863 1 4 17  
104 117 23 0.4599 0.1714 9.1491 0.2678 0.4223 10.0978 0.0160 4.2414 20.8863 1 4 23  
124 132 25 5.2002 -0.0160 7.8426 5.5279 -0.5554 8.6183 0.0160 4.2414 20.8863 1 4 25  
144 147 27 7.6736 -1.2084 4.8285 8.6721 -1.1830 4.8771 0.0160 4.2414 20.8863 1 4 27  
266 279 47 -1.0232 -0.8635 8.9089 -1.3102 -1.1013 9.8369 0.0160 4.2414 18.8863 1 4 47  
286 294 49 -4.6756 -0.4748 7.9884 -5.3134 -0.7220 8.7178 0.0160 4.2414 18.8863 1 4 49  
21 24 9 0.3621 0.2280 1.9420 0.1880 0.6389 2.8369 0.0160 4.2414 23.8863 1 4 9  
22 30 10 0.5177 0.2843 5.6568 0.1562 0.1946 6.5849 0.0160 4.2414 23.8863 1 4 10  
42 45 12 2.9663 1.8349 4.6990 3.6158 1.9356 5.4527 0.0160 4.2414 23.8863 1 4 12  
43 51 13 5.1625 2.4468 7.6367 5.7434 2.9186 8.3000 0.0160 4.2414 23.8863 1 4 13  
63 66 15 5.9946 4.6967 5.0028 6.4939 5.5624 5.0382 0.0160 4.2414 23.8863 1 4 15  
64 72 16 8.2261 7.4140 6.2128 8.8192 8.1890 6.4311 0.0160 4.2414 23.8863 1 4 16  
102 105 21 0.4044 0.0308 1.9426 0.8235 0.0212 2.8505 0.0160 4.2414 20.8863 1 4 21  
103 111 22 0.5801 0.1299 5.5441 0.5545 0.3970 6.5075 0.0160 4.2414 20.8863 1 4 22  
123 126 24 3.5297 -0.1863 4.6501 4.3398 0.0466 5.1882 0.0160 4.2414 20.8863 1 4 24  
125 138 26 6.3235 1.0096 11.1134 6.7131 1.3647 11.9632 0.0160 4.2414 20.8863 1 4 26  
145 153 28 11.0210 -0.9631 6.1502 11.9633 -0.9961 6.4833 0.0160 4.2414 20.8863 1 4 28  
146 159 29 14.0736 -1.0900 8.0678 14.9022 -1.1191 8.6269 0.0160 4.2414 20.8863 1 4 29  
183 186 33 -0.4121 0.2673 1.9324 -0.8594 0.4024 2.8165 0.0160 4.2414 19.8863 1 4 33  
184 192 34 -0.9211 0.8478 5.4088 -1.2919 1.2399 6.2507 0.0160 4.2414 19.8863 1 4 34  
185 198 35 -1.5732 1.3494 8.8735 -2.1315 1.7699 9.5886 0.0160 4.2414 19.8863 1 4 35  
