node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 17.0000 1 3 2  
0 72 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 14.0000 4 3 3  
0 133 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 13.0000 4 3 4  
0 194 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 12.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 17.0000 1 3 2  
72 73 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 14.0000 4 3 3  
133 134 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 13.0000 4 3 4  
194 195 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 12.0000 4 3 5  
3 18 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 15.9464 3 3 6  
10 36 7 2.0045 1.4118 3.6614 2.5655 1.5651 4.4749 0.2000 2.1137 15.9464 3 3 7  
17 54 8 4.6356 3.3144 4.8484 5.1197 4.1269 5.1733 0.2000 2.1137 15.9464 3 3 8  
73 88 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 12.9464 3 3 18  
80 103 19 2.3125 -0.2514 3.4730 2.8577 -0.0887 4.2954 0.2000 2.1137 12.9464 3 3 19  
87 118 20 5.3280 -0.7554 4.5078 6.2401 -0.9076 4.8886 0.2000 2.1137 12.9464 3 3 20  
134 149 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 11.9464 3 3 30  
141 164 31 -1.5956 1.5133 3.3648 -2.0801 2.0628 4.0454 0.2000 2.1137 11.9464 3 3 31  
148 179 32 -3.3676 3.9019 4.2584 -4.0501 4.6326 4.2722 0.2000 2.1137 11.9464 3 3 32  
195 208 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 10.9464 3 3 42  
201 223 43 -1.4905 -0.5206 3.6404 -1.9942 -0.4829 4.5034 0.2000 2.1137 10.9464 3 3 43  
207 238 44 -3.4811 -0.9754 5.8152 -4.2770 -0.9327 6.4191 0.2000 2.1137 10.9464 3 3 44  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 17.0000 1 3 2  
10 11 2 2.0045 1.4118 3.6614 2.3474 1.6488 3.9375 0.2000 2.4875 17.0000 1 3 2  
73 74 3 0.3157 -0.0190 0.9478 0.5299 -0.0377 1.3992 0.2000 2.4875 14.0000 4 3 3  
80 81 3 2.3125 -0.2514 3.4730 2.7334 -0.3122 3.7359 0.2000 2.4875 14.0000 4 3 3  
134 135 4 -0.2717 0.1138 0.9543 -0.4413 0.2339 1.4091 0.2000 2.4875 13.0000 4 3 4  
141 142 4 -1.5956 1.5133 3.3648 -1.8527 1.8692 3.6040 0.2000 2.4875 13.0000 4 3 4  
195 196 5 -0.2341 -0.1210 0.9643 -0.3871 -0.1839 1.4362 0.2000 2.4875 12.0000 4 3 5  
201 202 5 -1.4905 -0.5206 3.6404 -1.7761 -0.5927 4.0443 0.2000 2.4875 12.0000 4 3 5  
4 5 2 0.4071 0.3209 1.4042 0.6067 0.4619 1.8404 0.2000 3.4875 17.0000 1 3 2  
74 75 3 0.5299 -0.0377 1.3992 0.7799 -0.0625 1.8315 0.2000 3.4875 14.0000 4 3 3  
81 82 3 2.7334 -0.3122 3.7359 3.1737 -0.3789 3.9633 0.2000 3.4875 14.0000 4 3 3  
135 136 4 -0.4413 0.2339 1.4091 -0.6307 0.3949 1.8429 0.2000 3.4875 13.0000 4 3 4  
142 143 4 -1.8527 1.8692 3.6040 -2.1242 2.2362 3.8080 0.2000 3.4875 13.0000 4 3 4  
196 197 5 -0.3871 -0.1839 1.4362 -0.5635 -0.2483 1.8996 0.2000 3.4875 12.0000 4 3 5  
