node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 14.0000 1 3 2  
0 63 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 11.0000 4 3 3  
0 113 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 10.0000 4 3 4  
0 163 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 9.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 14.0000 1 3 2  
63 64 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 11.0000 4 3 3  
113 114 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 10.0000 4 3 4  
163 164 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 9.0000 4 3 5  
3 18 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 12.9464 3 3 6  
10 33 7 1.8529 1.3084 3.5178 2.4139 1.4618 4.3313 0.2000 2.1137 12.9464 3 3 7  
17 48 8 4.2938 3.0793 4.6776 4.7779 3.8918 5.0026 0.2000 2.1137 12.9464 3 3 8  
64 77 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 9.9464 3 3 18  
70 89 19 1.9768 -0.2060 3.2065 2.4522 -0.0318 4.0689 0.2000 2.1137 9.9464 3 3 19  
76 101 20 4.4853 -0.5960 4.4113 5.3256 -0.7256 4.9377 0.2000 2.1137 9.9464 3 3 20  
114 127 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 8.9464 3 3 30  
120 139 31 -1.3668 1.2092 3.0784 -1.9852 1.8332 3.5562 0.2000 2.1137 8.9464 3 3 31  
126 151 32 -2.8170 3.1533 4.1232 -3.5197 3.8480 4.2769 0.2000 2.1137 8.9464 3 3 32  
164 175 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 7.9464 3 3 42  
169 187 43 -1.2126 -0.4463 3.1990 -1.6722 -0.4055 4.0862 0.2000 2.1137 7.9464 3 3 43  
174 199 44 -2.7136 -0.8096 5.1152 -3.4443 -0.7606 5.7961 0.2000 2.1137 7.9464 3 3 44  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 14.0000 1 3 2  
10 11 2 1.8529 1.3084 3.5178 2.1958 1.5455 3.7939 0.2000 2.4875 14.0000 1 3 2  
64 65 3 0.3157 -0.0190 0.9478 0.5299 -0.0377 1.3992 0.2000 2.4875 11.0000 4 3 3  
70 71 3 1.9768 -0.2060 3.2065 2.3755 -0.2609 3.5033 0.2000 2.4875 11.0000 4 3 3  
114 115 4 -0.2717 0.1138 0.9543 -0.4413 0.2339 1.4091 0.2000 2.4875 10.0000 4 3 4  
120 121 4 -1.3668 1.2092 3.0784 -1.6090 1.5509 3.3515 0.2000 2.4875 10.0000 4 3 4  
164 165 5 -0.2341 -0.1210 0.9643 -0.3871 -0.1839 1.4362 0.2000 2.4875 9.0000 4 3 5  
169 170 5 -1.2126 -0.4463 3.1990 -1.4776 -0.5169 3.6170 0.2000 2.4875 9.0000 4 3 5  
4 5 2 0.4071 0.3209 1.4042 0.6067 0.4619 1.8404 0.2000 3.4875 14.0000 1 3 2  
65 66 3 0.5299 -0.0377 1.3992 0.7799 -0.0625 1.8315 0.2000 3.4875 11.0000 4 3 3  
71 72 3 2.3755 -0.2609 3.5033 2.7964 -0.3217 3.7662 0.2000 3.4875 11.0000 4 3 3  
115 116 4 -0.4413 0.2339 1.4091 -0.6307 0.3949 1.8429 0.2000 3.4875 10.0000 4 3 4  
121 122 4 -1.6090 1.5509 3.3515 -1.8661 1.9069 3.5907 0.2000 3.4875 10.0000 4 3 4  
165 166 5 -0.3871 -0.1839 1.4362 -0.5635 -0.2483 1.8996 0.2000 3.4875 9.0000 4 3 5  
170 171 5 -1.4776 -0.5169 3.6170 -1.7633 -0.5890 4.0210 0.2000 3.4875 9.0000 4 3 5  
11 12 2 2.1958 1.5455 3.7939 2.5532 1.7975 4.0364 0.2000 3.4875 14.0000 1 3 2  
20 29 11 0.4896 0.2514 7.8034 0.0774 0.1621 8.7102 0.0160 4.2414 11.8863 1 4 11  
35 44 14 5.0481 1.9263 9.5132 5.5738 1.6148 10.3048 0.0160 4.2414 11.8863 1 4 14  
50 59 17 7.4303 7.8858 8.2765 7.8660 8.6026 8.8209 0.0160 4.2414 11.8863 1 4 17  
79 86 23 0.4430 0.1286 6.9567 0.4523 0.1453 7.9565 0.0160 4.2414 8.8863 1 4 23  
90 95 25 3.2362 0.1438 6.4466 3.2659 0.1951 7.4448 0.0160 4.2414 8.8863 1 4 25  
101 104 27 5.3256 -0.7256 4.9377 5.5886 -0.5287 5.8821 0.0160 4.2414 8.8863 1 4 27  
177 184 47 -0.7407 -0.6090 6.1945 -0.7629 -0.5569 7.1929 0.0160 4.2414 6.8863 1 4 47  
188 193 49 -2.6601 -0.2976 5.9802 -2.9449 -0.2755 6.9385 0.0160 4.2414 6.8863 1 4 49  
18 21 9 0.3621 0.2280 1.9420 0.1880 0.6389 2.8369 0.0160 4.2414 11.8863 1 4 9  
19 25 10 0.4848 0.2724 4.8713 0.1233 0.1827 5.7994 0.0160 4.2414 11.8863 1 4 10  
33 36 12 2.4139 1.4618 4.3313 3.0634 1.5626 5.0849 0.0160 4.2414 11.8863 1 4 12  
34 40 13 3.9656 1.8465 6.7893 4.5466 2.3183 7.4526 0.0160 4.2414 11.8863 1 4 13  
48 51 15 4.7779 3.8918 5.0026 5.2772 4.7575 5.0379 0.0160 4.2414 11.8863 1 4 15  
49 55 16 6.4270 5.8866 6.3806 7.0201 6.6616 6.5988 0.0160 4.2414 11.8863 1 4 16  
77 80 21 0.4044 0.0308 1.9426 0.3841 0.1949 2.9288 0.0160 4.2414 8.8863 1 4 21  
78 83 22 0.5267 0.0997 4.4484 0.5639 0.0932 5.4477 0.0160 4.2414 8.8863 1 4 22  
89 92 24 2.4522 -0.0318 4.0689 2.5740 0.0422 5.0587 0.0160 4.2414 8.8863 1 4 24  
91 98 26 3.9248 0.2635 8.8571 3.9708 0.3114 9.8549 0.0160 4.2414 8.8863 1 4 26  
102 107 28 7.2240 -0.4424 6.5547 7.2303 -0.1890 7.5221 0.0160 4.2414 8.8863 1 4 28  
103 110 29 8.8030 -0.4197 8.5054 8.8771 -0.5433 9.4950 0.0160 4.2414 8.8863 1 4 29  
127 130 33 -0.4121 0.2673 1.9324 -0.4472 0.2034 2.9298 0.0160 4.2414 7.8863 1 4 33  
128 133 34 -0.7458 0.6479 4.2116 -0.7988 0.7187 5.2076 0.0160 4.2414 7.8863 1 4 34  
129 136 35 -1.1733 0.9767 6.4831 -1.2972 1.0806 7.4699 0.0160 4.2414 7.8863 1 4 35  
139 142 36 -1.9852 1.8332 3.5562 -2.4381 2.2651 4.3362 0.0160 4.2414 7.8863 1 4 36  
140 145 37 -3.3864 3.2568 4.7647 -3.9280 3.4346 5.5863 0.0160 4.2414 7.8863 1 4 37  
141 148 38 -4.5661 4.4799 6.3656 -5.2087 4.6375 7.1154 0.0160 4.2414 7.8863 1 4 38  
151 154 39 -3.5197 3.8480 4.2769 -3.7179 4.3159 5.1382 0.0160 4.2414 7.8863 1 4 39  
152 157 40 -5.1463 5.4859 4.6260 -5.4906 5.6399 5.5522 0.0160 4.2414 7.8863 1 4 40  
153 160 41 -7.1088 6.6076 5.2100 -7.3823 7.0074 6.0849 0.0160 4.2414 7.8863 1 4 41  
175 178 45 -0.2999 -0.2118 1.9580 -0.3798 -0.2502 2.9541 0.0160 4.2414 6.8863 1 4 45  
176 181 46 -0.5172 -0.4207 4.0756 -0.5488 -0.3686 5.0738 0.0160 4.2414 6.8863 1 4 46  
187 190 48 -1.6722 -0.4055 4.0862 -1.5936 -0.3720 5.0825 0.0160 4.2414 6.8863 1 4 48  
189 196 50 -3.7160 -0.2047 7.8381 -3.7109 -0.4209 8.8144 0.0160 4.2414 6.8863 1 4 50  
199 202 51 -3.4443 -0.7606 5.7961 -3.8436 -0.6936 6.7105 0.0160 4.2414 6.8863 1 4 51  
200 205 52 -5.0594 -0.6709 7.1957 -5.5165 -0.6931 8.0848 0.0160 4.2414 6.8863 1 4 52  
201 208 53 -6.6776 -0.5605 8.5900 -7.1005 -0.4651 9.4911 0.0160 4.2414 6.8863 1 4 53  
5 6 2 0.6067 0.4619 1.8404 0.8358 0.6196 2.2560 0.2000 5.4875 14.0000 1 3 2  
12 13 2 2.5532 1.7975 4.0364 2.9218 2.0640 4.2438 0.2000 5.4875 14.0000 1 3 2  
66 67 3 0.7799 -0.0625 1.8315 1.0639 -0.0934 2.2419 0.2000 5.4875 11.0000 4 3 3  
72 73 3 2.7964 -0.3217 3.7662 3.2367 -0.3884 3.9935 0.2000 5.4875 11.0000 4 3 3  
116 117 4 -0.6307 0.3949 1.8429 -0.8373 0.5956 2.2516 0.2000 5.4875 10.0000 4 3 4  
122 123 4 -1.8661 1.9069 3.5907 -2.1376 2.2738 3.7947 0.2000 5.4875 10.0000 4 3 4  
166 167 5 -0.5635 -0.2483 1.8996 -0.7629 -0.3143 2.3533 0.2000 5.4875 9.0000 4 3 5  
171 172 5 -1.7633 -0.5890 4.0210 -2.0688 -0.6627 4.4099 0.2000 5.4875 9.0000 4 3 5  
0 1 1 0.0000 0.0000 0.0000 0.0208 -0.7882 -0.6151 0.0500 6.0000 14.0000 1 2 1  
29 30 11 0.0774 0.1621 8.7102 -0.7264 0.1969 9.3039 0.0160 6.6741 11.8863 1 4 11  
