node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 21.0000 1 3 2  
0 83 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 18.0000 4 3 3  
0 155 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 17.0000 4 3 4  
0 225 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 16.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 21.0000 1 3 2  
83 84 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 18.0000 4 3 3  
155 156 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 17.0000 4 3 4  
225 226 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 16.0000 4 3 5  
3 20 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 19.9464 3 3 6  
11 41 7 2.2704 1.5956 3.8755 2.8902 1.7822 4.6377 0.2000 2.1137 19.9464 3 3 7  
19 62 8 5.3002 3.7478 4.7879 5.8253 4.5840 4.9463 0.2000 2.1137 19.9464 3 3 8  
84 101 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 16.9464 3 3 18  
92 119 19 2.6443 -0.2981 3.7025 3.2559 -0.1468 4.4791 0.2000 2.1137 16.9464 3 3 19  
100 137 20 6.1252 -0.9246 4.4641 7.0838 -1.0992 4.6893 0.2000 2.1137 16.9464 3 3 20  
156 171 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 15.9464 3 3 30  
163 189 31 -1.7713 1.7611 3.5628 -2.2558 2.3107 4.2434 0.2000 2.1137 15.9464 3 3 31  
170 207 32 -3.7475 4.4493 4.4671 -4.4300 5.1800 4.4809 0.2000 2.1137 15.9464 3 3 32  
226 241 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 14.9464 3 3 42  
233 259 43 -1.7739 -0.5922 4.0417 -2.3205 -0.5576 4.8783 0.2000 2.1137 14.9464 3 3 43  
240 277 44 -4.2740 -1.1385 6.3899 -5.1270 -1.1018 6.9106 0.2000 2.1137 14.9464 3 3 44  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 21.0000 1 3 2  
11 12 2 2.2704 1.5956 3.8755 2.6278 1.8476 4.1180 0.2000 2.4875 21.0000 1 3 2  
84 85 3 0.3157 -0.0190 0.9478 0.5299 -0.0377 1.3992 0.2000 2.4875 18.0000 4 3 3  
92 93 3 2.6443 -0.2981 3.7025 3.0846 -0.3648 3.9299 0.2000 2.4875 18.0000 4 3 3  
