node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 8.0000 1 3 2  
0 41 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 5.0000 4 3 3  
0 67 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 4.0000 4 3 4  
0 93 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 3.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 8.0000 1 3 2  
41 42 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 5.0000 4 3 3  
67 68 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 4.0000 4 3 4  
93 94 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 3.0000 4 3 5  
3 14 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 6.9464 3 3 6  
8 23 7 1.2352 0.8900 2.8340 1.6676 0.9760 3.7315 0.2000 2.1137 6.9464 3 3 7  
13 32 8 2.7525 1.9420 4.1043 3.1444 2.6494 4.6926 0.2000 2.1137 6.9464 3 3 8  
42 49 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 3.9464 3 3 18  
45 55 19 1.0453 -0.0914 2.2151 1.2959 0.1173 3.1604 0.2000 2.1137 3.9464 3 3 19  
48 61 20 2.0567 -0.2169 3.2663 2.5539 -0.2774 4.1318 0.2000 2.1137 3.9464 3 3 20  
68 75 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 2.9464 3 3 30  
71 81 31 -0.6920 0.4544 1.9642 -1.2715 0.8677 2.6667 0.2000 2.1137 2.9464 3 3 31  
