node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 16.0000 1 3 2  
0 72 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 13.0000 4 3 3  
0 133 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 12.0000 4 3 4  
0 192 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 11.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 16.0000 1 3 2  
72 73 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 13.0000 4 3 3  
133 134 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 12.0000 4 3 4  
192 193 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 11.0000 4 3 5  
3 18 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 14.9464 3 3 6  
10 36 7 1.9984 1.4076 3.6555 2.5593 1.5609 4.4690 0.2000 2.1137 14.9464 3 3 7  
17 54 8 4.6217 3.3048 4.8414 5.1058 4.1173 5.1664 0.2000 2.1137 14.9464 3 3 8  
73 88 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 11.9464 3 3 18  
80 103 19 2.2091 -0.2372 3.3960 2.7543 -0.0744 4.2184 0.2000 2.1137 11.9464 3 3 19  
87 118 20 5.0976 -0.7163 4.4225 6.0097 -0.8685 4.8032 0.2000 2.1137 11.9464 3 3 20  
134 147 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 10.9464 3 3 30  
140 162 31 -1.5262 1.4157 3.2860 -2.1446 2.0397 3.7639 0.2000 2.1137 10.9464 3 3 31  
146 177 32 -3.1721 3.6225 4.3931 -3.8748 4.3171 4.5468 0.2000 2.1137 10.9464 3 3 32  
193 206 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 9.9464 3 3 42  
199 218 43 -1.4065 -0.4982 3.5079 -1.9103 -0.4605 4.3710 0.2000 2.1137 9.9464 3 3 43  
205 230 44 -3.2779 -0.9278 5.5817 -4.0738 -0.8850 6.1856 0.2000 2.1137 9.9464 3 3 44  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 16.0000 1 3 2  
10 11 2 1.9984 1.4076 3.6555 2.3412 1.6446 3.9317 0.2000 2.4875 16.0000 1 3 2  
73 74 3 0.3157 -0.0190 0.9478 0.5299 -0.0377 1.3992 0.2000 2.4875 13.0000 4 3 3  
80 81 3 2.2091 -0.2372 3.3960 2.6301 -0.2980 3.6590 0.2000 2.4875 13.0000 4 3 3  
134 135 4 -0.2717 0.1138 0.9543 -0.4413 0.2339 1.4091 0.2000 2.4875 12.0000 4 3 4  
140 141 4 -1.5262 1.4157 3.2860 -1.7685 1.7574 3.5591 0.2000 2.4875 12.0000 4 3 4  
193 194 5 -0.2341 -0.1210 0.9643 -0.3871 -0.1839 1.4362 0.2000 2.4875 11.0000 4 3 5  
199 200 5 -1.4065 -0.4982 3.5079 -1.6922 -0.5704 3.9119 0.2000 2.4875 11.0000 4 3 5  
4 5 2 0.4071 0.3209 1.4042 0.6067 0.4619 1.8404 0.2000 3.4875 16.0000 1 3 2  
74 75 3 0.5299 -0.0377 1.3992 0.7799 -0.0625 1.8315 0.2000 3.4875 13.0000 4 3 3  
81 82 3 2.6301 -0.2980 3.6590 3.0704 -0.3647 3.8863 0.2000 3.4875 13.0000 4 3 3  
135 136 4 -0.4413 0.2339 1.4091 -0.6307 0.3949 1.8429 0.2000 3.4875 12.0000 4 3 4  
141 142 4 -1.7685 1.7574 3.5591 -2.0255 2.1134 3.7983 0.2000 3.4875 12.0000 4 3 4  
194 195 5 -0.3871 -0.1839 1.4362 -0.5635 -0.2483 1.8996 0.2000 3.4875 11.0000 4 3 5  
200 201 5 -1.6922 -0.5704 3.9119 -1.9977 -0.6440 4.3008 0.2000 3.4875 11.0000 4 3 5  
11 12 2 2.3412 1.6446 3.9317 2.6986 1.8966 4.1742 0.2000 3.4875 16.0000 1 3 2  
20 31 11 0.4988 0.2531 8.2288 0.0867 0.1638 9.1355 0.0160 4.2414 13.8863 1 4 11  
38 49 14 5.3847 2.0592 10.0270 5.9103 1.7476 10.8186 0.0160 4.2414 13.8863 1 4 14  
56 67 17 7.9507 8.4011 8.6779 8.3864 9.1179 9.2223 0.0160 4.2414 13.8863 1 4 17  
90 99 23 0.4476 0.1402 7.5499 0.2555 0.3911 8.4987 0.0160 4.2414 10.8863 1 4 23  
104 110 25 3.8461 0.0900 6.7988 4.1738 -0.4494 7.5745 0.0160 4.2414 10.8863 1 4 25  
