node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 9.0000 1 3 2  
0 50 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 6.0000 4 3 3  
0 87 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 5.0000 4 3 4  
0 113 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 4.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 9.0000 1 3 2  
50 51 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 6.0000 4 3 3  
87 88 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 5.0000 4 3 4  
113 114 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 4.0000 4 3 5  
3 14 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 7.9464 3 3 6  
8 26 7 1.3558 0.9714 2.9907 1.7882 1.0573 3.8882 0.2000 2.1137 7.9464 3 3 7  
13 38 8 3.0307 2.1374 4.3497 3.4226 2.8447 4.9379 0.2000 2.1137 7.9464 3 3 8  
51 60 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 4.9464 3 3 18  
55 69 19 1.2257 -0.1123 2.4393 1.5532 0.0849 3.3633 0.2000 2.1137 4.9464 3 3 19  
59 78 20 2.5594 -0.2901 3.5576 3.1894 -0.3738 4.3298 0.2000 2.1137 4.9464 3 3 20  
88 95 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 3.9464 3 3 30  
91 101 31 -0.8238 0.5825 2.2249 -1.4032 0.9957 2.9274 0.2000 2.1137 3.9464 3 3 31  
94 107 32 -1.5000 1.3861 3.2427 -1.8886 1.9192 3.9943 0.2000 2.1137 3.9464 3 3 32  
114 121 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 2.9464 3 3 42  
117 127 43 -0.6227 -0.2679 2.0342 -0.9907 -0.2209 2.9629 0.2000 2.1137 2.9464 3 3 43  
120 133 44 -1.1670 -0.4254 3.0323 -1.7463 -0.3641 3.8452 0.2000 2.1137 2.9464 3 3 44  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 9.0000 1 3 2  
8 9 2 1.3558 0.9714 2.9907 1.6607 1.1775 3.3291 0.2000 2.4875 9.0000 1 3 2  
51 52 3 0.3157 -0.0190 0.9478 0.5299 -0.0377 1.3992 0.2000 2.4875 6.0000 4 3 3  
55 56 3 1.2257 -0.1123 2.4393 1.5717 -0.1552 2.7976 0.2000 2.4875 6.0000 4 3 3  
88 89 4 -0.2717 0.1138 0.9543 -0.4413 0.2339 1.4091 0.2000 2.4875 5.0000 4 3 4  
91 92 4 -0.8238 0.5825 2.2249 -1.0447 0.8214 2.6046 0.2000 2.4875 5.0000 4 3 4  
114 115 5 -0.2341 -0.1210 0.9643 -0.3871 -0.1839 1.4362 0.2000 2.4875 4.0000 4 3 5  
117 118 5 -0.6227 -0.2679 2.0342 -0.8446 -0.3354 2.4772 0.2000 2.4875 4.0000 4 3 5  
121 122 42 -0.2999 -0.2118 1.9580 -0.4015 -0.3095 2.9480 0.2000 3.0000 2.9464 3 3 42  
122 123 42 -0.4015 -0.3095 2.9480 -0.5060 -0.3975 3.9387 0.2000 3.0000 2.9464 3 3 42  
127 128 43 -0.9907 -0.2209 2.9629 -1.3612 -0.1642 3.8900 0.2000 3.0000 2.9464 3 3 43  
