node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 15.0000 1 3 2  
0 72 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 12.0000 4 3 3  
0 131 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 11.0000 4 3 4  
0 181 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 10.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 15.0000 1 3 2  
72 73 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 12.0000 4 3 3  
131 132 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 11.0000 4 3 4  
181 182 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 10.0000 4 3 5  
3 18 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 13.9464 3 3 6  
10 36 7 1.9293 1.3605 3.5901 2.4902 1.5139 4.4036 0.2000 2.1137 13.9464 3 3 7  
17 54 8 4.4659 3.1977 4.7636 4.9500 4.0102 5.0886 0.2000 2.1137 13.9464 3 3 8  
73 86 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 10.9464 3 3 18  
79 101 19 2.0952 -0.2215 3.3106 2.5705 -0.0473 4.1730 0.2000 2.1137 10.9464 3 3 19  
85 116 20 4.7556 -0.6382 4.5511 5.5960 -0.7678 5.0774 0.2000 2.1137 10.9464 3 3 20  
132 145 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 9.9464 3 3 30  
138 157 31 -1.4505 1.3176 3.1874 -2.0689 1.9416 3.6652 0.2000 2.1137 9.9464 3 3 31  
144 169 32 -3.0034 3.3996 4.2649 -3.7062 4.0943 4.4186 0.2000 2.1137 9.9464 3 3 32  
182 195 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 8.9464 3 3 42  
188 207 43 -1.3137 -0.4735 3.3616 -1.8175 -0.4358 4.2246 0.2000 2.1137 8.9464 3 3 43  
194 219 44 -3.0533 -0.8752 5.3236 -3.8491 -0.8324 5.9275 0.2000 2.1137 8.9464 3 3 44  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 15.0000 1 3 2  
10 11 2 1.9293 1.3605 3.5901 2.2721 1.5975 3.8662 0.2000 2.4875 15.0000 1 3 2  
73 74 3 0.3157 -0.0190 0.9478 0.5299 -0.0377 1.3992 0.2000 2.4875 12.0000 4 3 3  
79 80 3 2.0952 -0.2215 3.3106 2.4938 -0.2764 3.6074 0.2000 2.4875 12.0000 4 3 3  
132 133 4 -0.2717 0.1138 0.9543 -0.4413 0.2339 1.4091 0.2000 2.4875 11.0000 4 3 4  
138 139 4 -1.4505 1.3176 3.1874 -1.6927 1.6593 3.4605 0.2000 2.4875 11.0000 4 3 4  
182 183 5 -0.2341 -0.1210 0.9643 -0.3871 -0.1839 1.4362 0.2000 2.4875 10.0000 4 3 5  
188 189 5 -1.3137 -0.4735 3.3616 -1.5994 -0.5456 3.7656 0.2000 2.4875 10.0000 4 3 5  
4 5 2 0.4071 0.3209 1.4042 0.6067 0.4619 1.8404 0.2000 3.4875 15.0000 1 3 2  
74 75 3 0.5299 -0.0377 1.3992 0.7799 -0.0625 1.8315 0.2000 3.4875 12.0000 4 3 3  
80 81 3 2.4938 -0.2764 3.6074 2.9147 -0.3372 3.8703 0.2000 3.4875 12.0000 4 3 3  
133 134 4 -0.4413 0.2339 1.4091 -0.6307 0.3949 1.8429 0.2000 3.4875 11.0000 4 3 4  
139 140 4 -1.6927 1.6593 3.4605 -1.9498 2.0153 3.6997 0.2000 3.4875 11.0000 4 3 4  
183 184 5 -0.3871 -0.1839 1.4362 -0.5635 -0.2483 1.8996 0.2000 3.4875 10.0000 4 3 5  
189 190 5 -1.5994 -0.5456 3.7656 -1.9049 -0.6193 4.1545 0.2000 3.4875 10.0000 4 3 5  
11 12 2 2.2721 1.5975 3.8662 2.6295 1.8495 4.1087 0.2000 3.4875 15.0000 1 3 2  
20 31 11 0.4945 0.2523 8.0279 0.0823 0.1630 8.9346 0.0160 4.2414 12.8863 1 4 11  
38 49 14 5.2254 1.9962 9.7840 5.7510 1.6846 10.5756 0.0160 4.2414 12.8863 1 4 14  
56 67 17 7.7041 8.1571 8.4879 8.1397 8.8739 9.0323 0.0160 4.2414 12.8863 1 4 17  
