node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 23.0000 1 3 2  
0 83 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 20.0000 4 3 3  
0 164 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 19.0000 4 3 4  
0 236 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 18.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 23.0000 1 3 2  
83 84 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 20.0000 4 3 3  
164 165 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 19.0000 4 3 4  
236 237 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 18.0000 4 3 5  
3 20 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 21.9464 3 3 6  
11 41 7 2.3465 1.6482 3.9368 2.9663 1.8349 4.6990 0.2000 2.1137 21.9464 3 3 7  
19 62 8 5.4695 3.8605 4.8444 5.9946 4.6967 5.0028 0.2000 2.1137 21.9464 3 3 8  
84 101 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 18.9464 3 3 18  
92 122 19 2.7705 -0.3163 3.7813 3.3820 -0.1650 4.5579 0.2000 2.1137 18.9464 3 3 19  
100 143 20 6.3970 -0.9749 4.5283 7.3555 -1.1495 4.7534 0.2000 2.1137 18.9464 3 3 20  
165 182 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 17.9464 3 3 30  
173 200 31 -1.9009 1.9406 3.6835 -2.4137 2.5305 4.3073 0.2000 2.1137 17.9464 3 3 31  
181 218 32 -4.0314 4.8991 4.2895 -4.6934 5.6370 4.1582 0.2000 2.1137 17.9464 3 3 32  
237 254 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 16.9464 3 3 42  
245 272 43 -1.8853 -0.6191 4.1843 -2.4734 -0.5876 4.9924 0.2000 2.1137 16.9464 3 3 43  
253 290 44 -4.6574 -1.2074 6.4892 -5.5587 -1.1770 6.9211 0.2000 2.1137 16.9464 3 3 44  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 23.0000 1 3 2  
11 12 2 2.3465 1.6482 3.9368 2.7039 1.9002 4.1793 0.2000 2.4875 23.0000 1 3 2  
84 85 3 0.3157 -0.0190 0.9478 0.5299 -0.0377 1.3992 0.2000 2.4875 20.0000 4 3 3  
92 93 3 2.7705 -0.3163 3.7813 3.2108 -0.3830 4.0087 0.2000 2.4875 20.0000 4 3 3  
165 166 4 -0.2717 0.1138 0.9543 -0.4413 0.2339 1.4091 0.2000 2.4875 19.0000 4 3 4  
173 174 4 -1.9009 1.9406 3.6835 -2.1725 2.3076 3.8875 0.2000 2.4875 19.0000 4 3 4  
237 238 5 -0.2341 -0.1210 0.9643 -0.3871 -0.1839 1.4362 0.2000 2.4875 18.0000 4 3 5  
245 246 5 -1.8853 -0.6191 4.1843 -2.2099 -0.6943 4.5571 0.2000 2.4875 18.0000 4 3 5  
4 5 2 0.4071 0.3209 1.4042 0.6067 0.4619 1.8404 0.2000 3.4875 23.0000 1 3 2  
85 86 3 0.5299 -0.0377 1.3992 0.7799 -0.0625 1.8315 0.2000 3.4875 20.0000 4 3 3  
93 94 3 3.2108 -0.3830 4.0087 3.6674 -0.4556 4.1989 0.2000 3.4875 20.0000 4 3 3  
166 167 4 -0.4413 0.2339 1.4091 -0.6307 0.3949 1.8429 0.2000 3.4875 19.0000 4 3 4  
174 175 4 -2.1725 2.3076 3.8875 -2.4582 2.6821 4.0552 0.2000 3.4875 19.0000 4 3 4  
238 239 5 -0.3871 -0.1839 1.4362 -0.5635 -0.2483 1.8996 0.2000 3.4875 18.0000 4 3 5  
246 247 5 -2.2099 -0.6943 4.5571 -2.5526 -0.7711 4.9130 0.2000 3.4875 18.0000 4 3 5  
12 13 2 2.7039 1.9002 4.1793 3.0725 2.1668 4.3867 0.2000 3.4875 23.0000 1 3 2  
22 35 11 0.5189 0.2568 9.1527 0.1068 0.1675 10.0594 0.0160 4.2414 20.8863 1 4 11  
43 56 14 6.6850 2.6464 10.7801 7.2107 2.3348 11.5717 0.0160 4.2414 20.8863 1 4 14  
64 77 17 9.5472 10.1246 7.9905 9.9828 10.8415 8.5348 0.0160 4.2414 20.8863 1 4 17  
103 116 23 0.4575 0.1653 8.8386 0.2654 0.4162 9.7874 0.0160 4.2414 17.8863 1 4 23  
123 131 25 4.9806 -0.0020 7.6129 5.3082 -0.5414 8.3886 0.0160 4.2414 17.8863 1 4 25  
143 146 27 7.3555 -1.1495 4.7534 8.3540 -1.1241 4.8020 0.0160 4.2414 17.8863 1 4 27  
256 267 47 -0.9832 -0.8275 8.5245 -1.2702 -1.0653 9.4525 0.0160 4.2414 15.8863 1 4 47  
273 280 49 -4.4301 -0.4512 7.6653 -5.0680 -0.6984 8.3948 0.0160 4.2414 15.8863 1 4 49  
20 23 9 0.3621 0.2280 1.9420 0.1880 0.6389 2.8369 0.0160 4.2414 20.8863 1 4 9  
21 29 10 0.5131 0.2826 5.5456 0.1516 0.1930 6.4737 0.0160 4.2414 20.8863 1 4 10  
41 44 12 2.9663 1.8349 4.6990 3.6158 1.9356 5.4527 0.0160 4.2414 20.8863 1 4 12  
42 50 13 5.0967 2.4285 7.5487 5.6777 2.9003 8.2120 0.0160 4.2414 20.8863 1 4 13  
62 65 15 5.9946 4.6967 5.0028 6.4939 5.5624 5.0382 0.0160 4.2414 20.8863 1 4 15  
63 71 16 8.1592 7.3326 6.1766 8.7523 8.1076 6.3949 0.0160 4.2414 20.8863 1 4 16  
101 104 21 0.4044 0.0308 1.9426 0.8235 0.0212 2.8505 0.0160 4.2414 17.8863 1 4 21  
102 110 22 0.5725 0.1256 5.3890 0.5470 0.3927 6.3523 0.0160 4.2414 17.8863 1 4 22  
122 125 24 3.3820 -0.1650 4.5579 4.1921 0.0679 5.0959 0.0160 4.2414 17.8863 1 4 24  
124 137 26 6.0555 0.9794 10.7428 6.4451 1.3345 11.5925 0.0160 4.2414 17.8863 1 4 26  
144 152 28 10.5587 -0.9148 6.0181 11.5010 -0.9477 6.3512 0.0160 4.2414 17.8863 1 4 28  
145 158 29 13.4797 -1.0361 7.8532 14.3084 -1.0652 8.4122 0.0160 4.2414 17.8863 1 4 29  
182 185 33 -0.4121 0.2673 1.9324 -0.8594 0.4024 2.8165 0.0160 4.2414 16.8863 1 4 33  
183 190 34 -0.8963 0.8195 5.2392 -1.2671 1.2116 6.0811 0.0160 4.2414 16.8863 1 4 34  
184 195 35 -1.5165 1.2966 8.5349 -2.0749 1.7171 9.2501 0.0160 4.2414 16.8863 1 4 35  
200 203 36 -2.4137 2.5305 4.3073 -2.8185 3.3592 4.6937 0.0160 4.2414 16.8863 1 4 36  
201 208 37 -4.2822 4.4653 6.3663 -4.9516 5.1446 6.6670 0.0160 4.2414 16.8863 1 4 37  
202 213 38 -6.1451 6.4269 8.4048 -6.5774 7.2242 8.8261 0.0160 4.2414 16.8863 1 4 38  
218 221 39 -4.6934 5.6370 4.1582 -5.3943 6.3195 3.9512 0.0160 4.2414 16.8863 1 4 39  
219 226 40 -6.6270 8.4149 4.2959 -7.1225 9.2800 4.2179 0.0160 4.2414 16.8863 1 4 40  
220 231 41 -9.1490 10.5957 4.8941 -9.8994 11.2415 5.0348 0.0160 4.2414 16.8863 1 4 41  
254 257 45 -0.2999 -0.2118 1.9580 -0.5893 -0.1413 2.9126 0.0160 4.2414 15.8863 1 4 45  
255 262 46 -0.6367 -0.5356 5.2403 -1.0965 -0.6136 6.1249 0.0160 4.2414 15.8863 1 4 46  
272 275 48 -2.4734 -0.5876 4.9924 -3.2003 -0.4803 5.6708 0.0160 4.2414 15.8863 1 4 48  
274 285 50 -6.4824 -0.3380 10.2667 -7.2661 -0.4954 10.8675 0.0160 4.2414 15.8863 1 4 50  
290 293 51 -5.5587 -1.1770 6.9211 -6.5061 -0.9646 7.1605 0.0160 4.2414 15.8863 1 4 51  
291 298 52 -8.5973 -1.0991 8.2450 -9.5101 -0.9484 8.6245 0.0160 4.2414 15.8863 1 4 52  
292 303 53 -11.6387 -0.9891 9.5600 -12.5290 -0.6515 9.8655 0.0160 4.2414 15.8863 1 4 53  
5 6 2 0.6067 0.4619 1.8404 0.8358 0.6196 2.2560 0.2000 5.4875 23.0000 1 3 2  
13 14 2 3.0725 2.1668 4.3867 3.4491 2.4476 4.5580 0.2000 5.4875 23.0000 1 3 2  
86 87 3 0.7799 -0.0625 1.8315 1.0639 -0.0934 2.2419 0.2000 5.4875 20.0000 4 3 3  
94 95 3 3.6674 -0.4556 4.1989 4.1373 -0.5340 4.3508 0.2000 5.4875 20.0000 4 3 3  
167 168 4 -0.6307 0.3949 1.8429 -0.8373 0.5956 2.2516 0.2000 5.4875 19.0000 4 3 4  
175 176 4 -2.4582 2.6821 4.0552 -2.7576 3.0605 4.1860 0.2000 5.4875 19.0000 4 3 4  
239 240 5 -0.5635 -0.2483 1.8996 -0.7629 -0.3143 2.3533 0.2000 5.4875 18.0000 4 3 5  
247 248 5 -2.5526 -0.7711 4.9130 -2.9128 -0.8493 5.2509 0.2000 5.4875 18.0000 4 3 5  
0 1 1 0.0000 0.0000 0.0000 0.0208 -0.7882 -0.6151 0.0500 6.0000 23.0000 1 2 1  
35 36 11 0.1068 0.1675 10.0594 -0.6971 0.2023 10.6532 0.0160 6.6741 20.8863 1 4 11  
50 51 13 5.6777 2.9003 8.2120 6.5042 3.2787 8.6288 0.0160 6.6741 20.8863 1 4 13  
