node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 24.0000 1 3 2  
0 83 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 21.0000 4 3 3  
0 164 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 20.0000 4 3 4  
0 245 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 19.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 24.0000 1 3 2  
83 84 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 21.0000 4 3 3  
164 165 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 20.0000 4 3 4  
245 246 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 19.0000 4 3 5  
3 20 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 22.9464 3 3 6  
11 41 7 2.3465 1.6482 3.9368 2.9663 1.8349 4.6990 0.2000 2.1137 22.9464 3 3 7  
19 62 8 5.4695 3.8605 4.8444 5.9946 4.6967 5.0028 0.2000 2.1137 22.9464 3 3 8  
84 101 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 19.9464 3 3 18  
92 122 19 2.8247 -0.3241 3.8152 3.4362 -0.1728 4.5918 0.2000 2.1137 19.9464 3 3 19  
100 143 20 6.5137 -0.9966 4.5559 7.4723 -1.1711 4.7810 0.2000 2.1137 19.9464 3 3 20  
165 182 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 18.9464 3 3 30  
173 203 31 -1.9375 1.9913 3.7175 -2.4503 2.5811 4.3414 0.2000 2.1137 18.9464 3 3 31  
181 224 32 -4.1063 5.0090 4.3141 -4.7683 5.7469 4.1828 0.2000 2.1137 18.9464 3 3 32  
246 263 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 17.9464 3 3 42  
254 281 43 -1.9334 -0.6307 4.2455 -2.5215 -0.5992 5.0536 0.2000 2.1137 17.9464 3 3 43  
262 299 44 -4.7734 -1.2325 6.5875 -5.6747 -1.2021 7.0195 0.2000 2.1137 17.9464 3 3 44  
3 4 2 0.2386 0.1968 0.9501 0.4071 0.3209 1.4042 0.2000 2.4875 24.0000 1 3 2  
11 12 2 2.3465 1.6482 3.9368 2.7039 1.9002 4.1793 0.2000 2.4875 24.0000 1 3 2  
84 85 3 0.3157 -0.0190 0.9478 0.5299 -0.0377 1.3992 0.2000 2.4875 21.0000 4 3 3  
92 93 3 2.8247 -0.3241 3.8152 3.2650 -0.3908 4.0425 0.2000 2.4875 21.0000 4 3 3  
165 166 4 -0.2717 0.1138 0.9543 -0.4413 0.2339 1.4091 0.2000 2.4875 20.0000 4 3 4  
173 174 4 -1.9375 1.9913 3.7175 -2.2091 2.3582 3.9215 0.2000 2.4875 20.0000 4 3 4  
246 247 5 -0.2341 -0.1210 0.9643 -0.3871 -0.1839 1.4362 0.2000 2.4875 19.0000 4 3 5  
254 255 5 -1.9334 -0.6307 4.2455 -2.2579 -0.7059 4.6183 0.2000 2.4875 19.0000 4 3 5  
4 5 2 0.4071 0.3209 1.4042 0.6067 0.4619 1.8404 0.2000 3.4875 24.0000 1 3 2  
85 86 3 0.5299 -0.0377 1.3992 0.7799 -0.0625 1.8315 0.2000 3.4875 21.0000 4 3 3  
