node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 2 2 0.0000 0.0000 0.0000 0.1025 0.0898 0.4811 0.2000 0.5129 25.0000 1 3 2  
0 84 3 0.0000 0.0000 0.0000 0.1387 -0.0065 0.4803 0.2000 0.5129 22.0000 4 3 3  
0 165 4 0.0000 0.0000 0.0000 -0.1240 0.0357 0.4831 0.2000 0.5129 21.0000 4 3 4  
0 246 5 0.0000 0.0000 0.0000 -0.1050 -0.0597 0.4852 0.2000 0.5129 20.0000 4 3 5  
2 3 2 0.1025 0.0898 0.4811 0.2386 0.1968 0.9501 0.2000 1.0536 25.0000 1 3 2  
84 85 3 0.1387 -0.0065 0.4803 0.3157 -0.0190 0.9478 0.2000 1.0536 22.0000 4 3 3  
165 166 4 -0.1240 0.0357 0.4831 -0.2717 0.1138 0.9543 0.2000 1.0536 21.0000 4 3 4  
246 247 5 -0.1050 -0.0597 0.4852 -0.2341 -0.1210 0.9643 0.2000 1.0536 20.0000 4 3 5  
3 21 6 0.2386 0.1968 0.9501 0.3621 0.2280 1.9420 0.2000 2.1137 23.9464 3 3 6  
11 42 7 2.3465 1.6482 3.9368 2.9663 1.8349 4.6990 0.2000 2.1137 23.9464 3 3 7  
19 63 8 5.4695 3.8605 4.8444 5.9946 4.6967 5.0028 0.2000 2.1137 23.9464 3 3 8  
85 102 18 0.3157 -0.0190 0.9478 0.4044 0.0308 1.9426 0.2000 2.1137 20.9464 3 3 18  
93 123 19 2.8737 -0.3312 3.8458 3.4853 -0.1799 4.6224 0.2000 2.1137 20.9464 3 3 19  
101 144 20 6.6194 -1.0162 4.5808 7.5780 -1.1907 4.8060 0.2000 2.1137 20.9464 3 3 20  
166 183 30 -0.2717 0.1138 0.9543 -0.4121 0.2673 1.9324 0.2000 2.1137 19.9464 3 3 30  
174 204 31 -1.9706 2.0371 3.7483 -2.4834 2.6270 4.3722 0.2000 2.1137 19.9464 3 3 31  
182 225 32 -4.1741 5.1084 4.3364 -4.8361 5.8463 4.2051 0.2000 2.1137 19.9464 3 3 32  
247 264 42 -0.2341 -0.1210 0.9643 -0.2999 -0.2118 1.9580 0.2000 2.1137 18.9464 3 3 42  
255 285 43 -1.9769 -0.6412 4.3008 -2.5650 -0.6097 5.1090 0.2000 2.1137 18.9464 3 3 43  
263 306 44 -4.8784 -1.2552 6.6766 -5.7797 -1.2248 7.1085 0.2000 2.1137 18.9464 3 3 44  
